CA,06,001,Alameda County
CA,06,003,Alpine County
CA,06,005,Amador County
CA,06,007,Butte County
CA,06,009,Calaveras County
CA,06,011,Colusa County
CA,06,013,Contra Costa County
CA,06,015,Del Norte County
CA,06,017,El Dorado County
CA,06,019,Fresno County
CA,06,021,Glenn County
CA,06,023,Humboldt County
CA,06,025,Imperial County
CA,06,027,Inyo County
CA,06,029,Kern County
CA,06,031,Kings County
CA,06,033,Lake County
CA,06,035,Lassen County
CA,06,037,Los Angeles County
CA,06,039,Madera County
CA,06,041,Marin County
CA,06,043,Mariposa County
CA,06,045,Mendocino County
CA,06,047,Merced County
CA,06,049,Modoc County
CA,06,051,Mono County
CA,06,053,Monterey County
CA,06,055,Napa County
CA,06,057,Nevada County
CA,06,059,Orange County
CA,06,061,Placer County
CA,06,063,Plumas County
CA,06,065,Riverside County
CA,06,067,Sacramento County
CA,06,069,San Benito County
CA,06,071,San Bernardino County
CA,06,073,San Diego County
CA,06,075,San Francisco County
CA,06,077,San Joaquin County
CA,06,079,San Luis Obispo County
CA,06,081,San Mateo County
CA,06,083,Santa Barbara County
CA,06,085,Santa Clara County
CA,06,087,Santa Cruz County
CA,06,089,Shasta County
CA,06,091,Sierra County
CA,06,093,Siskiyou County
CA,06,095,Solano County
CA,06,097,Sonoma County
CA,06,099,Stanislaus County
CA,06,101,Sutter County
CA,06,103,Tehama County
CA,06,105,Trinity County
CA,06,107,Tulare County
CA,06,109,Tuolumne County
CA,06,111,Ventura County
CA,06,113,Yolo County
CA,06,115,Yuba County